id	neighbourhood
4717459	Hell's Kitchen
9436049	Bedford-Stuyvesant
6028165	
5604005	Lower East Side
11271036	East Harlem
3254762	Williamsburg
7469908	
12581749	Prospect Heights
523123	Park Slope
4848500	Bedford-Stuyvesant
12057450	Harlem
8017041	Crown Heights
5372777	Flatbush
12057444	
9546211	Upper East Side
7994204	
2751311	Williamsburg
4455231	Morningside Heights
13237070	
785204	Lower East Side
12735625	Inwood
11926330	
13105965	
4324129	Bedford-Stuyvesant
3013404	Williamsburg
14109521	Bushwick
1747405	East Harlem
1178389	Washington Heights
4848397	West Village
391955	Columbia Street Waterfront
6421257	Ditmars / Steinway
8387338	West Brighton
3930878	Alphabet City
9760922	Washington Heights
9562621	West Village
10746611	West Village
15203042	East Harlem
2226906	Williamsburg
14940874	Crown Heights
785097	Melrose
654005	Upper West Side
9960135	Hamilton Heights
4455094	West Village
13547426	Bay Ridge
7798559	Bedford-Stuyvesant
9415109	Bedford-Stuyvesant
11401884	
14154038	Lower East Side
14547628	West Village
9697969	East Village
1702533	Park Slope
1178231	Canarsie
15071899	Crown Heights
14023316	Clinton Hill
10091161	Bedford-Stuyvesant
1571455	Woodside
13359750	Crown Heights
8518280	
10746511	Crown Heights
13105778	Astoria
11315644	
522837	Park Slope
5372526	Lower East Side
785003	Williamsburg
4586065	Washington Heights
8780378	Bushwick
10070457	Alphabet City
13892163	Upper West Side
7469629	
10877492	
15071802	Astoria
9492069	Financial District
8868954	Ridgewood
12450340	Nolita
3799579	Bedford-Stuyvesant
8387098	Long Island City
6421011	Crown Heights
6706263	Gramercy Park
3799541	Harlem
5434655	Upper West Side
14154245	East Village
784906	
4585979	Upper West Side
11337469	Crown Heights
7862762	South Street Seaport
14416360	
8255959	Flatbush
9697749	Bedford-Stuyvesant
8780243	Bushwick
5110224	Tompkinsville
3144135	Bedford-Stuyvesant
10090922	Bushwick
10353094	Park Slope
14416321	Williamsburg
9435568	
8649144	Williamsburg
9697726	Williamsburg
6249938	East Harlem
2488712	Prospect Heights
11270573	Crown Heights
4979111	
10660249	Hell's Kitchen
7600543	Upper East Side
8518051	
5766895	Clinton Hill
9435531	
2271637	West Village
4896937	Astoria
9828717	
11139469	Bedford-Stuyvesant
14373955	Bedford-Stuyvesant
1763209	Astoria
8255878	Boerum Hill
13367668	
9435503	Morningside Heights
8907930	Greenwich Village
6420850	Bedford-Stuyvesant
12974423	Bushwick
9042254	East Village
13236555	Lower East Side
8386889	Alphabet City
260407	Upper West Side
14022980	Bedford-Stuyvesant
8336175	Upper West Side
10221874	Greenwich Village
8353634	
13883481	Bedford-Stuyvesant
10484019	Park Slope
9435428	East Harlem
15071519	Crown Heights
14547240	Morningside Heights
15700	Upper East Side
7798489	Lower East Side
11925767	Flatiron District
12056851	Hell's Kitchen
1964293	Harlem
8517887	
8191699	Upper East Side
4847855	Crown Heights
4141868	Chinatown
11532518	East Village
10352869	Williamsburg
14153951	Lower East Side
9042110	Sunnyside
7995078	Hamilton Heights
15202489	Alphabet City
5372082	Boerum Hill
13891757	West Village
6027434	Hell's Kitchen
9435300	Upper West Side
4783809	Fort Greene
15182188	Kips Bay
10544617	Upper West Side
14856763	
1640995	
393016	Hell's Kitchen
248713	Hell's Kitchen
8648818	Astoria
12056684	Harlem
4978798	Murray Hill
6420579	Marble Hill
6551650	Gowanus
1046615	Williamsburg
10090599	
12932111	Washington Heights
915515	Upper East Side
11621388	Bushwick
